,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
89,Hawkstowe,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Hawkstowe_Station_%281%29.jpg/100px-Hawkstowe_Station_%281%29.jpg,['bus'],Mernda,30.73,19.09,2,26 August 2018[121],South Morang,
90,Hawthorn,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Hawthorn_railway_station_-_Melbourne.jpg/100px-Hawthorn_railway_station_-_Melbourne.jpg,['bus'],AlameinBelgraveLilydale,6.89,4.28,1,13 April 1861,Hawthorn,
91,Heatherdale,//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Eastbound_rebuilt_Heatherdale_station.JPG/100px-Eastbound_rebuilt_Heatherdale_station.JPG,['bus'],BelgraveLilydale,24.42,15.17,2,7 September 1958,Ringwood,Rebuilt in 2017
92,Heathmont,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Southbound_View_Heathmont.jpeg/100px-Southbound_View_Heathmont.jpeg,['bus'],Belgrave,28.12,17.47,2,1 May 1926,Heathmont,
93,Heidelberg,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Heidelberg_Station_View.jpg/100px-Heidelberg_Station_View.jpg,['bus'],Hurstbridge,14.04,8.72,"['1', '2\n']",8 May 1888,Heidelberg,
94,Heyington,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Heyington_railway_station_-_Melbourne.jpg/100px-Heyington_railway_station_-_Melbourne.jpg,[],Glen Waverley,7.12,4.42,1,24 March 1890,Toorak,
95,Highett,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Stationhighett2021.jpg/100px-Stationhighett2021.jpg,['bus'],Frankston,20.06,12.46,2,19 December 1881,Highett,Formerly Highett Road
96,Holmesglen,//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Holmesglen_railway_station_-_Melbourne.jpg/100px-Holmesglen_railway_station_-_Melbourne.jpg,['bus'],Glen Waverley,15.64,9.72,"['1', '2\n']",5 May 1930,East Malvern,
97,Hoppers Crossing,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Hoppers_Crossing_stn_platform_night.jpg/100px-Hoppers_Crossing_stn_platform_night.jpg,['bus'],Werribee,27.67,17.19,2,16 November 1970,Hoppers Crossing,
98,Hughesdale,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Hughesdale_Railway_Station_Platform_2_-_a_-_April_2019.jpg/100px-Hughesdale_Railway_Station_Platform_2_-_a_-_April_2019.jpg,['bus'],CranbournePakenham,15.27,9.49,"['1', '2\n']",28 February 1925,Hughesdale,Rebuilt in 2018
